Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2026-08-19T21:54:52+05:30
Running ./build/bench_matching_engine
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 5.93, 4.51, 3.83
-------------------------------------------------------------------------------------------------------------------
Benchmark                                                                         Time             CPU   Iterations
BM_Fok_Rejected_CrossableLevels/4/iterations:65536_stddev                     0.372 ns        0.376 ns            5
BM_Fok_Rejected_CrossableLevels/4/iterations:65536_cv                          2.31 %          2.33 %             5
BM_Fok_Rejected_CrossableLevels/16/iterations:65536_mean                       44.6 ns         44.5 ns            5
BM_Fok_Rejected_CrossableLevels/16/iterations:65536_median                     44.1 ns         44.1 ns            5
BM_Fok_Rejected_CrossableLevels/16/iterations:65536_stddev                     1.01 ns        0.759 ns            5
BM_Fok_Rejected_CrossableLevels/16/iterations:65536_cv                         2.26 %          1.71 %             5
BM_Fok_Rejected_CrossableLevels/64/iterations:65536_mean                        206 ns          205 ns            5
BM_Fok_Rejected_CrossableLevels/64/iterations:65536_median                      206 ns          205 ns            5
BM_Fok_Rejected_CrossableLevels/64/iterations:65536_stddev                    0.168 ns        0.192 ns            5
BM_Fok_Rejected_CrossableLevels/64/iterations:65536_cv                         0.08 %          0.09 %             5
BM_Fok_Rejected_CrossableLevels/256/iterations:65536_mean                       918 ns          918 ns            5
BM_Fok_Rejected_CrossableLevels/256/iterations:65536_median                     918 ns          917 ns            5
BM_Fok_Rejected_CrossableLevels/256/iterations:65536_stddev                    1.34 ns         1.16 ns            5
BM_Fok_Rejected_CrossableLevels/256/iterations:65536_cv                        0.15 %          0.13 %             5
BM_Fok_Rejected_CrossableLevels/1024/iterations:62500_mean                     6445 ns         6439 ns            5
BM_Fok_Rejected_CrossableLevels/1024/iterations:62500_median                   6446 ns         6440 ns            5
