Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2026-08-19T21:37:18+05:30
Running ./build/bench_matching_engine
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 4.39, 3.78, 3.28
-------------------------------------------------------------------------------------------------------------------
Benchmark                                                                         Time             CPU   Iterations
BM_Fok_Executed/1/iterations:8000_stddev                                      0.721 ns        0.716 ns            5 items_per_second=213.766k/s
BM_Fok_Executed/1/iterations:8000_cv                                           1.25 %          1.24 %             5 items_per_second=1.23%
BM_Fok_Executed/4/iterations:4000_mean                                          189 ns          189 ns            5 items_per_second=21.203M/s
BM_Fok_Executed/4/iterations:4000_median                                        187 ns          187 ns            5 items_per_second=21.3904M/s
BM_Fok_Executed/4/iterations:4000_stddev                                       4.93 ns         4.84 ns            5 items_per_second=534.471k/s
BM_Fok_Executed/4/iterations:4000_cv                                           2.61 %          2.56 %             5 items_per_second=2.52%
BM_Fok_Executed/16/iterations:2000_mean                                         755 ns          755 ns            5 items_per_second=21.2032M/s
BM_Fok_Executed/16/iterations:2000_median                                       754 ns          754 ns            5 items_per_second=21.2202M/s
BM_Fok_Executed/16/iterations:2000_stddev                                      21.6 ns         21.7 ns            5 items_per_second=604.657k/s
BM_Fok_Executed/16/iterations:2000_cv                                          2.87 %          2.88 %             5 items_per_second=2.85%
BM_Fok_Executed/64/iterations:1000_mean                                        3112 ns         3111 ns            5 items_per_second=20.5725M/s
BM_Fok_Executed/64/iterations:1000_median                                      3118 ns         3118 ns            5 items_per_second=20.526M/s
BM_Fok_Executed/64/iterations:1000_stddev                                      31.6 ns         31.3 ns            5 items_per_second=206.472k/s
BM_Fok_Executed/64/iterations:1000_cv                                          1.02 %          1.01 %             5 items_per_second=1.00%
BM_Fok_Executed/256/iterations:500_mean                                       12946 ns        12926 ns            5 items_per_second=19.8071M/s
BM_Fok_Executed/256/iterations:500_median                                     12900 ns        12886 ns            5 items_per_second=19.8665M/s
BM_Fok_Executed/256/iterations:500_stddev                                       112 ns          122 ns            5 items_per_second=186.051k/s
BM_Fok_Executed/256/iterations:500_cv                                          0.87 %          0.95 %             5 items_per_second=0.94%
BM_Fok_Executed/1024/iterations:256_mean                                      53394 ns        53367 ns            5 items_per_second=19.1906M/s
BM_Fok_Executed/1024/iterations:256_median                                    53261 ns        53242 ns            5 items_per_second=19.2329M/s
BM_Fok_Executed/1024/iterations:256_stddev                                      752 ns          727 ns            5 items_per_second=257.993k/s
BM_Fok_Executed/1024/iterations:256_cv                                         1.41 %          1.36 %             5 items_per_second=1.34%
