Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2026-08-19T21:35:00+05:30
Running ./build/bench_matching_engine
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 4.05, 3.37, 3.07
-------------------------------------------------------------------------------------------------------------------
Benchmark                                                                         Time             CPU   Iterations
BM_Fok_Executed/64/iterations:1000_median                                      3159 ns         3148 ns            5 items_per_second=20.3304M/s
BM_Fok_Executed/64/iterations:1000_stddev                                      61.3 ns         55.9 ns            5 items_per_second=363.212k/s
BM_Fok_Executed/64/iterations:1000_cv                                          1.95 %          1.78 %             5 items_per_second=1.78%
BM_Fok_Executed/256/iterations:500_mean                                       13159 ns        13122 ns            5 items_per_second=19.5088M/s
BM_Fok_Executed/256/iterations:500_median                                     13164 ns        13120 ns            5 items_per_second=19.5122M/s
BM_Fok_Executed/256/iterations:500_stddev                                      49.4 ns         39.3 ns            5 items_per_second=58.4007k/s
BM_Fok_Executed/256/iterations:500_cv                                          0.38 %          0.30 %             5 items_per_second=0.30%
BM_Fok_Executed/1024/iterations:256_mean                                      54639 ns        54466 ns            5 items_per_second=18.8011M/s
BM_Fok_Executed/1024/iterations:256_median                                    54445 ns        54313 ns            5 items_per_second=18.8539M/s
BM_Fok_Executed/1024/iterations:256_stddev                                      419 ns          329 ns            5 items_per_second=113.202k/s
BM_Fok_Executed/1024/iterations:256_cv                                         0.77 %          0.60 %             5 items_per_second=0.60%
