Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2026-08-20T03:05:00+05:30
Running ./build/bench_matching_engine
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 3.56, 4.19, 4.46
-------------------------------------------------------------------------------------------------------------------
Benchmark                                                                         Time             CPU   Iterations
BM_Fok_Rejected_BackgroundDepth/256/iterations:65536_mean                      6.88 ns         6.88 ns            5
BM_Fok_Rejected_BackgroundDepth/256/iterations:65536_median                    6.86 ns         6.87 ns            5
BM_Fok_Rejected_BackgroundDepth/256/iterations:65536_stddev                   0.062 ns        0.068 ns            5
BM_Fok_Rejected_BackgroundDepth/256/iterations:65536_cv                        0.90 %          0.98 %             5
BM_Fok_Rejected_BackgroundDepth/4096/iterations:15621_mean                     6.96 ns         6.99 ns            5
BM_Fok_Rejected_BackgroundDepth/4096/iterations:15621_median                   6.93 ns         6.98 ns            5
BM_Fok_Rejected_BackgroundDepth/4096/iterations:15621_stddev                  0.075 ns        0.070 ns            5
BM_Fok_Rejected_BackgroundDepth/4096/iterations:15621_cv                       1.07 %          1.00 %             5
BM_Fok_Rejected_BackgroundDepth/65536/iterations:976_mean                      10.6 ns         10.5 ns            5
BM_Fok_Rejected_BackgroundDepth/65536/iterations:976_median                    11.0 ns         10.2 ns            5
BM_Fok_Rejected_BackgroundDepth/65536/iterations:976_stddev                   0.531 ns        0.857 ns            5
BM_Fok_Rejected_BackgroundDepth/65536/iterations:976_cv                        4.98 %          8.20 %             5
BM_Fok_Executed/1/iterations:8000_mean                                         42.0 ns         41.9 ns            5 items_per_second=23.8528M/s
BM_Fok_Executed/1/iterations:8000_median                                       42.1 ns         42.0 ns            5 items_per_second=23.8095M/s
BM_Fok_Executed/1/iterations:8000_stddev                                      0.240 ns        0.244 ns            5 items_per_second=138.599k/s
BM_Fok_Executed/1/iterations:8000_cv                                           0.57 %          0.58 %             5 items_per_second=0.58%
BM_Fok_Executed/4/iterations:4000_mean                                          137 ns          137 ns            5 items_per_second=29.2193M/s
BM_Fok_Executed/4/iterations:4000_median                                        137 ns          137 ns            5 items_per_second=29.2505M/s
BM_Fok_Executed/4/iterations:4000_stddev                                      0.766 ns        0.840 ns            5 items_per_second=179.122k/s
BM_Fok_Executed/4/iterations:4000_cv                                           0.56 %          0.61 %             5 items_per_second=0.61%
