Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2026-08-19T22:46:18+05:30
Running ./build/bench_matching_engine
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 5.10, 5.14, 5.06
-------------------------------------------------------------------------------------------------------------------
Benchmark                                                                         Time             CPU   Iterations
BM_Fok_Rejected_BackgroundDepth/65536/iterations:976_median                    14.3 ns         13.3 ns            5
BM_Fok_Rejected_BackgroundDepth/65536/iterations:976_stddev                    1.38 ns         1.71 ns            5
BM_Fok_Rejected_BackgroundDepth/65536/iterations:976_cv                        9.55 %         12.49 %             5
BM_Fok_Executed/1/iterations:8000_mean                                         52.4 ns         51.3 ns            5 items_per_second=19.5926M/s
BM_Fok_Executed/1/iterations:8000_median                                       48.8 ns         48.9 ns            5 items_per_second=20.4604M/s
BM_Fok_Executed/1/iterations:8000_stddev                                       6.25 ns         4.25 ns            5 items_per_second=1.49957M/s
BM_Fok_Executed/1/iterations:8000_cv                                          11.92 %          8.29 %             5 items_per_second=7.65%
BM_Fok_Executed/4/iterations:4000_mean                                          160 ns          159 ns            5 items_per_second=25.2522M/s
BM_Fok_Executed/4/iterations:4000_median                                        153 ns          152 ns            5 items_per_second=26.2295M/s
BM_Fok_Executed/4/iterations:4000_stddev                                       14.5 ns         12.7 ns            5 items_per_second=1.85366M/s
BM_Fok_Executed/4/iterations:4000_cv                                           9.04 %          8.01 %             5 items_per_second=7.34%
BM_Fok_Executed/16/iterations:2000_mean                                         595 ns          594 ns            5 items_per_second=26.9723M/s
BM_Fok_Executed/16/iterations:2000_median                                       590 ns          589 ns            5 items_per_second=27.1647M/s
BM_Fok_Executed/16/iterations:2000_stddev                                      18.9 ns         17.2 ns            5 items_per_second=779.482k/s
BM_Fok_Executed/16/iterations:2000_cv                                          3.18 %          2.90 %             5 items_per_second=2.89%
